seed_id,price,date
8,4.6784,2023-01-02
8,4.68,2023-01-03
8,4.6688,2023-01-04
8,4.6709,2023-01-05
8,4.697,2023-01-09
8,4.6981,2023-01-10
8,4.6871,2023-01-11
8,4.6888,2023-01-12
8,4.6915,2023-01-13
8,4.7004,2023-01-16
8,4.6946,2023-01-17
8,4.7091,2023-01-18
8,4.7053,2023-01-19
8,4.7137,2023-01-20
8,4.7186,2023-01-23
8,4.7073,2023-01-24
8,4.7079,2023-01-25
8,4.7239,2023-01-26
8,4.7076,2023-01-27
8,4.716,2023-01-30
8,4.7089,2023-01-31
8,4.708,2023-02-01
8,4.7079,2023-02-02
8,4.692,2023-02-03
8,4.7195,2023-02-06
8,4.7476,2023-02-07
8,4.7402,2023-02-08
8,4.7363,2023-02-09
8,4.7716,2023-02-10
8,4.7895,2023-02-13
8,4.7847,2023-02-14
8,4.7593,2023-02-15
8,4.7728,2023-02-16
8,4.7747,2023-02-17
8,4.7542,2023-02-20
8,4.7469,2023-02-21
8,4.7538,2023-02-22
8,4.7525,2023-02-23
8,4.7245,2023-02-24
8,4.7162,2023-02-27
8,4.717,2023-02-28
8,4.6925,2023-03-01
8,4.675,2023-03-02
8,4.7046,2023-03-03
8,4.7073,2023-03-06
8,4.6871,2023-03-07
8,4.7018,2023-03-08
8,4.6836,2023-03-09
8,4.6838,2023-03-10
8,4.6848,2023-03-13
8,4.6909,2023-03-14
8,4.7015,2023-03-15
8,4.6978,2023-03-16
8,4.7062,2023-03-17
8,4.7109,2023-03-20
8,4.6981,2023-03-21
8,4.6888,2023-03-22
8,4.6817,2023-03-23
8,4.6911,2023-03-24
8,4.6856,2023-03-27
8,4.6816,2023-03-28
8,4.685,2023-03-29
8,4.6801,2023-03-30
8,4.6755,2023-03-31
8,4.6805,2023-04-03
8,4.6785,2023-04-04
8,4.6803,2023-04-05
8,4.6902,2023-04-06
8,4.6862,2023-04-07
8,4.681,2023-04-11
8,4.666,2023-04-12
8,4.6511,2023-04-13
8,4.6494,2023-04-14
8,4.6341,2023-04-17
8,4.6286,2023-04-18
8,4.6278,2023-04-19
8,4.6109,2023-04-20
8,4.6039,2023-04-21
8,4.6129,2023-04-24
8,4.598,2023-04-25
8,4.5887,2023-04-26
8,4.5915,2023-04-27
8,4.5889,2023-04-28
8,4.5868,2023-05-04
8,4.5885,2023-05-05
8,4.5671,2023-05-08
8,4.5683,2023-05-09
8,4.5488,2023-05-10
8,4.5259,2023-05-11
8,4.5444,2023-05-12
8,4.5096,2023-05-15
8,4.4904,2023-05-16
8,4.4945,2023-05-17
8,4.5355,2023-05-18
8,4.5367,2023-05-19
8,4.5269,2023-05-22
8,4.4981,2023-05-23
8,4.4803,2023-05-24
8,4.503,2023-05-25
8,4.5294,2023-05-29
8,4.522,2023-05-30
8,4.5376,2023-05-31
8,4.5312,2023-06-01
8,4.5148,2023-06-02
8,4.4851,2023-06-05
8,4.4902,2023-06-06
8,4.479,2023-06-07
8,4.4366,2023-06-12
8,4.4783,2023-06-13
8,4.4715,2023-06-14
8,4.4633,2023-06-15
8,4.4583,2023-06-16
8,4.4457,2023-06-19
8,4.4386,2023-06-20
8,4.4408,2023-06-21
8,4.4335,2023-06-22
8,4.4367,2023-06-23
8,4.4297,2023-06-26
8,4.4286,2023-06-27
8,4.46,2023-06-28
8,4.4568,2023-06-29
8,4.4503,2023-06-30
8,4.4321,2023-07-03
8,4.4273,2023-07-04
8,4.4498,2023-07-05
8,4.4754,2023-07-06
8,4.4803,2023-07-07
8,4.4553,2023-07-10
8,4.4426,2023-07-11
8,4.4471,2023-07-12
8,4.4336,2023-07-13
8,4.4486,2023-07-14
8,4.452,2023-07-17
8,4.4331,2023-07-18
8,4.4492,2023-07-19
8,4.4511,2023-07-20
8,4.4501,2023-07-21
8,4.4517,2023-07-24
